Math,Biology,Physics,Chemistry,English,Digital_Technology,Critical_Thinking,Linguistic_Competencies,Holy_Quran,Ecology,Vocational_Education,Social_Studies,Hadith,Physical_Health,Financial_Literacy,Statistics,GPA,Grade_Level,Attendance_Behavior,Interest,Suggested_Major
89,50,89,86,77,57,83,87,74,81,72,50,74,72,85,69,75.99,3,Good,Accounting,المحاسبة
93,62,85,67,78,92,86,67,57,78,57,75,53,60,76,84,75.49,3,Good,Programming,الأمن السيبراني
93,61,90,54,62,74,89,44,87,56,74,64,64,73,82,80,73.54,2,Excellent,Business,الهندسة الصناعية
83,90,53,93,86,66,51,68,56,71,73,61,59,53,83,78,67.0,2,Average,Healthcare,الأحياء
81,97,86,95,78,89,73,60,65,64,83,66,52,52,59,78,70.8,1,Weak,Accounting,الأحياء
87,49,89,65,85,82,98,56,66,72,87,87,52,81,59,81,74.46,2,Good,Programming,هندسة البرمجيات
60,51,58,75,94,59,82,82,75,83,71,95,75,55,78,58,77.22,3,Good,Marketing,التسويق
85,88,88,73,89,51,91,65,50,77,90,72,73,59,84,90,80.66,1,Good,Architecture,الهندسة المعمارية
90,70,74,59,81,76,88,53,80,90,75,80,62,90,70,88,77.16,2,Good,Scientific Research,الرياضيات
75,73,55,74,85,51,78,77,89,81,70,92,61,56,86,60,68.36,3,Average,Healthcare,التسويق
77,97,81,83,97,76,90,54,71,77,86,60,89,43,51,61,73.78,3,Weak,Law,التمريض
74,62,76,89,93,85,86,74,68,80,80,97,69,58,80,80,75.07,3,Good,Business,التسويق
99,64,74,62,93,95,93,58,65,68,60,86,52,58,63,100,72.62,2,Good,Data Analysis,علم البيانات
70,86,61,78,93,53,58,63,53,76,63,58,84,88,51,50,66.95,1,Average,Law,الأحياء
82,100,61,60,92,71,66,55,81,59,68,98,88,64,57,68,74.4,1,Good,Healthcare,الصحة العامة
64,56,62,60,77,52,91,99,57,66,86,84,52,85,80,83,76.63,2,Excellent,Architecture,القانون
89,85,80,87,86,42,87,71,63,83,79,81,77,75,95,57,75.76,2,Excellent,Data Analysis,المحاسبة
93,83,65,51,85,81,76,75,76,72,81,54,64,68,87,64,74.89,3,Good,Accounting,المحاسبة
85,49,75,69,77,92,97,53,53,89,86,73,59,60,53,81,74.95,1,Good,Cybersecurity,الأمن السيبراني
90,40,70,74,91,96,83,84,82,75,79,74,70,50,97,81,75.16,2,Average,Programming,نظم المعلومات الإدارية
99,63,93,85,90,85,87,69,48,80,63,66,86,75,72,50,77.05,2,Average,AI,الذكاء الاصطناعي
57,75,78,51,87,61,87,65,85,81,79,78,77,72,93,55,69.88,3,Excellent,Programming,إدارة الأعمال
99,87,77,77,87,83,100,74,61,60,53,78,73,90,77,64,79.81,1,Average,AI,هندسة البرمجيات
90,86,64,78,81,68,86,85,71,53,81,82,57,65,86,51,69.42,1,Average,Law,القانون
67,90,62,98,80,81,88,58,66,84,50,59,86,82,58,67,71.88,3,Good,Healthcare,طب الأسنان
100,65,78,65,88,91,89,61,68,53,74,82,62,79,56,66,72.74,2,Average,Data Analysis,علوم الحاسب
87,57,99,58,91,92,68,58,75,83,50,65,86,86,56,62,77.64,2,Excellent,Robotics,هندسة الحاسب
86,86,92,95,88,60,92,77,86,90,51,71,61,85,46,80,78.29,2,Good,Scientific Research,الفيزياء
98,72,77,76,85,89,98,76,54,69,87,81,58,61,72,85,81.27,1,Good,Programming,هندسة البرمجيات
86,90,82,74,84,52,84,53,83,74,77,69,72,89,99,86,78.26,3,Good,Marketing,المحاسبة
68,94,55,100,81,70,92,66,60,67,69,50,85,59,86,90,74.62,3,Excellent,Healthcare,طب الأسنان
85,92,67,95,70,51,68,82,78,75,84,59,66,56,67,64,69.5,1,Average,Scientific Research,الكيمياء
68,64,64,74,93,83,95,92,76,75,78,72,90,86,52,76,73.27,1,Weak,Programming,القانون
100,65,89,63,50,95,86,80,65,68,87,69,72,65,87,51,78.89,1,Excellent,Engineering,الهندسة الكهربائية
99,74,95,63,51,84,88,88,78,76,74,50,86,64,72,76,81.02,3,Excellent,Business,الهندسة الكهربائية
68,97,71,75,100,85,83,59,62,78,59,56,68,65,66,73,70.32,3,Excellent,Healthcare,التمريض
77,53,80,83,59,70,89,82,88,69,90,68,96,90,58,61,78.75,1,Excellent,Islamic Studies,الشريعة
83,86,80,97,79,76,71,54,86,80,81,79,54,63,89,78,72.67,1,Excellent,Scientific Research,الكيمياء
97,59,98,95,53,61,91,64,71,68,58,64,60,69,67,57,71.17,1,Average,Scientific Research,الفيزياء
76,83,55,99,88,90,69,64,76,90,69,81,84,50,81,89,81.7,1,Excellent,Scientific Research,الطب والجراحة
93,65,83,78,74,89,89,84,64,59,80,86,62,61,91,84,74.34,3,Excellent,Business,الهندسة الصناعية
85,53,53,79,87,62,93,64,71,68,77,62,58,68,95,76,71.26,3,Excellent,Accounting,المحاسبة
86,92,74,83,86,61,55,50,87,71,64,79,67,54,90,89,76.57,1,Excellent,Healthcare,الأحياء
90,87,83,66,98,82,85,54,57,83,79,71,79,81,55,52,71.41,1,Average,Programming,هندسة البرمجيات
72,67,67,87,64,87,85,50,85,84,88,57,90,61,93,64,71.04,3,Excellent,Business,نظم المعلومات الإدارية
96,66,83,52,86,94,93,53,57,60,64,86,73,88,77,88,76.07,1,Good,AI,الذكاء الاصطناعي
91,85,89,50,56,93,75,62,55,51,52,51,79,61,67,86,67.48,1,Good,Robotics,الهندسة الكهربائية
85,69,54,78,86,85,95,51,60,60,88,52,66,69,69,87,69.44,3,Average,AI,علم البيانات
58,92,54,80,88,78,68,65,56,86,82,82,54,87,68,75,72.18,2,Average,Healthcare,الأحياء
76,72,76,66,95,87,92,88,83,75,82,80,63,79,66,50,73.28,2,Weak,AI,هندسة البرمجيات
87,88,55,65,84,98,77,77,51,80,89,53,52,72,60,83,75.1,2,Good,Programming,تقنية المعلومات
96,69,79,87,78,88,93,58,71,57,62,89,89,53,88,59,79.19,3,Good,AI,علوم الحاسب
85,52,84,69,78,88,97,87,61,81,52,79,50,52,55,59,67.24,2,Weak,Programming,علوم الحاسب
79,92,73,100,80,90,85,65,68,61,56,57,76,89,70,56,73.97,1,Excellent,Healthcare,طب الأسنان
85,86,92,94,86,54,86,78,54,80,80,64,72,82,60,55,71.43,2,Average,Cybersecurity,الفيزياء
81,77,61,98,67,50,86,66,52,83,61,74,85,60,56,80,71.44,3,Weak,Scientific Research,الكيمياء
63,66,83,83,75,70,99,98,72,77,51,82,82,59,72,61,70.28,1,Weak,Robotics,القانون
95,52,88,66,78,88,87,55,68,86,79,51,88,58,87,77,76.44,3,Good,Architecture,الهندسة المعمارية
100,55,88,79,88,95,85,61,78,70,77,84,87,82,74,55,81.24,3,Excellent,Robotics,هندسة الحاسب
77,95,62,85,90,85,73,89,69,79,50,68,62,88,54,74,79.4,1,Excellent,Islamic Studies,الصيدلة
90,87,54,92,84,68,68,77,52,49,62,89,74,68,90,60,78.54,3,Average,Scientific Research,الأحياء
80,99,54,93,76,80,89,82,75,82,59,67,59,79,58,75,77.75,3,Excellent,Healthcare,طب الأسنان
82,87,64,70,92,73,87,66,51,71,51,89,87,67,93,83,77.71,1,Average,Marketing,إدارة الأعمال
73,78,65,79,91,90,95,78,86,64,71,97,69,84,81,57,80.8,3,Good,Healthcare,الصحة العامة
59,93,70,90,93,66,93,61,69,90,67,94,65,69,50,58,75.05,2,Good,Healthcare,الصحة العامة
95,86,78,93,66,50,78,73,67,78,59,67,83,66,88,74,79.32,1,Excellent,Scientific Research,الكيمياء
81,52,57,88,90,89,82,90,63,74,77,76,77,62,89,86,82.01,3,Excellent,Business,إدارة الأعمال
99,78,85,76,51,75,82,66,59,73,55,67,58,83,74,87,77.35,3,Good,Scientific Research,الفيزياء
93,64,75,48,93,88,91,75,64,55,87,67,82,72,79,100,77.29,1,Good,Data Analysis,علم البيانات
63,84,75,67,92,57,86,86,68,69,90,78,65,71,85,83,74.26,2,Good,Law,القانون
85,51,93,83,78,88,87,88,50,67,90,88,75,56,85,82,80.75,1,Excellent,Data Analysis,الذكاء الاصطناعي
75,67,59,60,91,95,94,57,54,58,86,80,75,63,100,52,76.78,1,Average,Programming,نظم المعلومات الإدارية
56,87,84,57,93,81,95,50,51,72,52,78,85,54,96,82,70.93,3,Weak,Business,إدارة الأعمال
89,49,92,68,56,63,95,82,59,64,81,80,88,79,50,59,67.51,3,Weak,Scientific Research,الرياضيات
79,95,79,100,90,72,58,65,63,90,72,90,85,64,58,59,73.47,2,Excellent,Healthcare,الطب والجراحة
57,61,70,69,90,81,83,89,65,66,77,78,75,63,92,89,79.99,1,Good,Law,إدارة الأعمال
86,58,98,74,87,84,87,74,88,75,69,87,83,54,80,63,77.89,1,Good,Scientific Research,الهندسة الكهربائية
67,93,75,100,94,89,80,57,58,59,51,70,77,65,52,74,73.16,2,Average,Healthcare,طب الأسنان
99,82,80,75,78,93,94,58,72,54,56,50,81,58,62,54,76.49,2,Excellent,AI,علوم الحاسب
100,77,91,51,79,68,88,59,67,64,68,68,62,86,81,83,73.19,2,Excellent,Engineering,الهندسة الصناعية
80,89,88,100,88,78,68,52,78,70,51,58,67,83,90,59,71.8,1,Average,Scientific Research,الطب والجراحة
90,79,85,85,75,74,73,53,74,83,68,85,70,50,67,51,69.4,2,Good,Scientific Research,الكيمياء
78,88,84,87,85,72,81,75,81,50,84,84,58,71,62,76,75.22,1,Excellent,Healthcare,الطب والجراحة
71,75,75,52,88,88,91,98,86,73,55,86,82,64,73,75,74.82,1,Excellent,Law,القانون
85,64,85,65,53,81,92,77,59,71,57,82,82,71,53,90,71.36,2,Excellent,Robotics,الهندسة الكهربائية
98,54,92,69,95,64,75,88,58,56,59,60,53,79,82,59,72.8,1,Average,Engineering,الهندسة المعمارية
95,87,95,90,88,62,91,72,55,76,85,54,87,81,86,40,82.35,1,Good,Architecture,الهندسة الصناعية
74,80,57,50,88,87,91,65,71,76,86,74,52,61,52,83,70.13,1,Weak,Robotics,تقنية المعلومات
82,79,52,65,92,81,95,90,55,57,88,90,85,56,85,51,73.89,3,Good,Business,المحاسبة
84,79,69,89,88,72,95,94,93,77,61,84,89,79,59,68,76.51,2,Excellent,Islamic Studies,الشريعة
89,61,73,54,99,87,76,86,86,90,58,66,50,71,57,87,75.76,3,Good,Cybersecurity,تقنية المعلومات
67,75,73,66,79,54,94,92,81,68,69,80,62,75,60,72,72.12,2,Excellent,Law,القانون
57,88,82,85,85,81,94,71,85,90,59,62,79,63,66,82,75.39,3,Good,Islamic Studies,طب الأسنان
56,96,86,89,82,82,88,64,56,74,52,56,74,83,78,88,77.16,3,Excellent,Healthcare,طب الأسنان
100,66,97,68,57,91,88,56,58,82,64,52,71,83,85,88,73.54,3,Excellent,Robotics,الهندسة الكهربائية
87,96,51,94,84,50,77,80,65,83,52,68,50,65,61,57,74.84,1,Weak,Healthcare,الأحياء
61,66,78,66,89,57,92,81,81,89,76,82,78,74,55,76,78.18,1,Excellent,Law,القانون
52,87,54,74,94,82,93,70,57,75,85,96,86,72,70,56,74.78,1,Good,Business,التسويق
89,57,94,69,93,97,91,54,58,56,51,57,53,77,63,69,70.7,1,Weak,AI,علوم الحاسب
77,100,60,87,76,83,52,46,72,75,52,78,83,69,75,80,70.35,3,Average,AI,الطب والجراحة
98,69,81,62,75,79,88,67,84,82,62,79,66,66,59,91,79.76,1,Average,Islamic Studies,علم البيانات
71,57,83,57,93,57,81,66,62,71,82,99,89,81,77,83,71.91,1,Average,Marketing,التسويق
51,55,60,75,88,51,92,55,54,71,72,94,48,82,82,56,66.36,3,Weak,Business,التسويق
60,97,56,80,75,52,55,69,53,83,57,52,70,67,80,65,66.78,1,Average,Scientific Research,الأحياء
85,62,85,82,51,56,91,72,68,50,73,62,75,89,50,74,69.06,1,Weak,Robotics,الهندسة الميكانيكية
92,55,85,82,82,74,90,58,78,51,85,62,59,87,63,89,73.95,1,Average,Business,الهندسة الميكانيكية
67,90,59,59,79,99,89,55,55,59,68,62,58,81,95,75,75.54,3,Average,Programming,نظم المعلومات الإدارية
54,88,86,48,95,58,79,73,70,81,58,85,52,84,80,60,67.97,3,Weak,Healthcare,الصحة العامة
77,85,74,64,79,86,75,58,81,85,77,71,87,50,90,66,77.17,3,Average,Healthcare,نظم المعلومات الإدارية
93,79,89,83,75,87,85,72,54,58,70,68,81,84,77,88,76.79,2,Average,Data Analysis,علم البيانات
84,96,74,98,89,43,83,53,57,50,50,61,68,82,65,79,75.34,2,Excellent,Healthcare,طب الأسنان
76,73,60,82,79,90,88,75,78,53,81,75,58,45,87,72,73.03,1,Average,Business,نظم المعلومات الإدارية
87,86,56,99,81,61,89,55,55,61,69,61,79,71,63,65,72.94,1,Weak,Healthcare,طب الأسنان
59,83,66,56,89,79,98,90,79,47,56,83,79,58,77,61,75.04,2,Good,Law,القانون
74,73,94,58,86,90,85,75,83,61,80,90,82,54,74,64,72.67,2,Average,Programming,علوم الحاسب
67,54,55,69,93,88,89,100,75,83,79,81,70,65,51,79,70.49,1,Average,Law,القانون
77,95,60,77,78,68,83,55,79,83,66,69,81,50,53,58,76.0,2,Average,Healthcare,الأحياء
73,73,71,92,81,82,60,50,74,54,68,74,60,77,61,56,73.65,1,Good,Healthcare,الأحياء
65,93,60,77,97,89,83,65,79,76,63,74,67,66,48,50,72.81,3,Weak,Healthcare,التمريض
96,78,89,60,91,100,90,59,86,60,90,77,48,66,73,53,76.37,2,Good,Data Analysis,الذكاء الاصطناعي
82,87,76,97,68,72,58,50,57,80,77,64,83,73,60,54,74.54,2,Weak,Healthcare,الطب والجراحة
75,52,41,88,61,65,75,83,89,77,57,87,85,84,56,77,72.43,1,Weak,Engineering,الشريعة
93,67,85,69,98,76,90,66,61,57,64,86,77,60,60,71,78.11,2,Excellent,AI,هندسة البرمجيات
55,96,56,84,75,65,84,77,52,61,54,62,90,56,51,55,71.36,2,Weak,Healthcare,الأحياء
75,95,82,91,80,70,68,84,79,63,74,59,82,60,59,54,76.49,3,Good,Healthcare,الطب والجراحة
99,87,59,63,88,80,94,67,58,67,62,77,85,67,80,95,76.27,3,Good,Cybersecurity,علم البيانات
80,92,80,97,88,82,93,58,85,74,68,52,69,69,88,50,79.59,1,Excellent,Healthcare,طب الأسنان
57,69,74,57,97,81,85,80,90,60,88,87,75,84,87,83,75.76,2,Good,Business,إدارة الأعمال
86,86,78,50,88,63,92,62,83,74,71,66,77,72,85,63,74.21,3,Good,Business,المحاسبة
85,71,89,58,63,86,91,89,88,54,69,81,59,65,51,68,73.16,1,Good,AI,الذكاء الاصطناعي
85,83,95,65,80,85,100,67,79,66,67,90,79,60,51,75,73.58,1,Average,Programming,علوم الحاسب
90,80,61,87,99,73,95,66,57,66,66,50,81,51,57,67,71.11,3,Excellent,Healthcare,التمريض
93,80,54,91,71,62,58,71,73,79,67,59,83,90,82,84,79.56,3,Excellent,Scientific Research,الكيمياء
76,87,53,93,92,79,77,89,80,42,60,85,53,55,86,66,72.04,3,Good,AI,الطب والجراحة
95,84,95,72,79,80,85,70,54,88,75,85,67,72,59,61,72.07,1,Excellent,Scientific Research,الرياضيات
68,93,73,85,92,54,94,80,74,70,74,59,89,84,79,52,80.49,3,Excellent,Healthcare,التمريض
87,85,63,77,95,85,85,81,50,85,89,52,78,64,98,65,76.72,3,Good,Business,نظم المعلومات الإدارية
67,95,88,93,95,89,87,80,77,86,75,79,50,81,85,65,80.18,2,Excellent,Scientific Research,الطب والجراحة
74,68,87,88,92,89,86,64,70,64,89,61,77,52,92,68,78.13,1,Good,Business,المحاسبة
86,53,93,93,64,50,78,87,54,85,79,72,76,88,86,82,76.28,1,Excellent,Engineering,الهندسة الميكانيكية
97,59,91,62,87,97,90,49,65,53,82,77,55,70,88,61,76.52,2,Good,Healthcare,الذكاء الاصطناعي
77,96,59,66,81,86,83,70,83,80,85,90,52,89,66,79,78.96,3,Average,Healthcare,الصحة العامة
97,75,93,77,91,56,84,83,86,77,80,65,72,61,81,60,78.57,2,Excellent,Engineering,الهندسة المعمارية
86,69,81,86,67,77,78,57,69,67,68,64,72,50,89,56,74.37,1,Good,Scientific Research,الرياضيات
60,89,83,92,94,72,79,88,49,69,54,77,69,77,86,73,77.88,1,Excellent,Scientific Research,الأحياء
95,56,84,64,82,91,88,59,58,52,64,79,81,51,73,56,70.45,2,Good,Law,علوم الحاسب
59,77,90,72,55,72,87,79,90,62,46,73,96,70,65,77,69.8,2,Weak,Islamic Studies,الشريعة
94,90,96,85,88,89,81,90,61,60,75,84,78,53,73,80,83.21,1,Good,Architecture,الهندسة المعمارية
89,55,91,85,87,78,80,75,70,64,56,89,77,69,82,74,72.38,1,Average,Robotics,الهندسة الكهربائية
78,91,76,81,79,61,85,79,72,78,73,94,62,76,53,50,77.2,3,Excellent,Healthcare,الصحة العامة
92,52,65,60,99,86,92,52,55,60,62,85,65,78,68,66,67.68,3,Good,Programming,تقنية المعلومات
96,79,85,57,88,90,76,67,56,89,65,87,81,77,72,80,81.21,2,Excellent,Programming,علوم الحاسب
98,54,93,78,85,74,99,52,63,60,52,84,50,48,84,88,71.23,1,Weak,Engineering,الهندسة الصناعية
87,59,85,86,89,78,93,74,87,87,83,72,58,58,59,64,78.04,2,Average,Robotics,هندسة الحاسب
49,59,74,64,56,65,76,90,99,56,63,76,96,79,83,66,69.12,1,Excellent,Islamic Studies,الشريعة
50,85,67,85,92,66,87,61,70,57,62,85,63,59,59,87,75.33,3,Good,AI,التمريض
90,73,98,60,74,83,94,54,54,57,59,50,60,65,85,74,73.31,2,Weak,Business,الهندسة الكهربائية
97,57,89,65,87,53,83,63,72,45,90,54,85,50,82,89,71.69,2,Average,Scientific Research,الرياضيات
89,70,85,80,84,67,76,43,51,50,71,69,73,86,81,69,70.67,3,Good,Engineering,الهندسة المعمارية
60,55,74,59,90,86,76,87,75,63,85,62,70,83,86,73,74.5,2,Good,Law,نظم المعلومات الإدارية
50,64,68,56,71,66,80,76,92,88,84,62,98,59,80,84,75.39,2,Average,Islamic Studies,الشريعة
94,67,83,90,90,85,98,60,82,87,66,90,67,82,69,69,80.31,1,Excellent,Cybersecurity,الأمن السيبراني
97,67,59,57,80,81,82,52,66,88,57,76,67,64,86,65,67.65,3,Weak,Business,المحاسبة
75,91,80,92,78,69,64,54,89,72,90,86,65,59,88,89,82.52,3,Excellent,Scientific Research,الصيدلة
69,66,58,50,86,65,95,100,66,61,85,81,51,78,84,62,69.16,3,Weak,Law,القانون
99,58,77,51,97,88,85,53,86,48,68,89,60,64,64,77,77.18,2,Good,AI,هندسة البرمجيات
89,82,78,74,56,88,75,62,78,80,73,56,58,68,64,59,70.28,3,Excellent,Scientific Research,الرياضيات
98,73,80,87,91,88,91,82,55,60,53,89,52,78,74,59,80.15,1,Good,Accounting,علوم الحاسب
58,95,62,80,81,70,90,89,85,55,64,76,87,82,50,56,76.1,1,Good,Healthcare,الصحة العامة
68,95,50,78,96,66,92,71,50,72,50,81,82,69,65,75,75.76,2,Excellent,Healthcare,التمريض
100,69,94,62,88,96,86,74,74,80,88,59,52,51,80,67,77.6,1,Excellent,AI,علوم الحاسب
94,43,87,79,92,77,83,62,67,55,62,59,60,77,88,85,69.93,3,Excellent,Engineering,الهندسة المعمارية
57,97,75,89,83,86,56,59,65,50,65,80,61,67,86,76,76.6,3,Good,Scientific Research,الأحياء
80,78,92,79,95,76,78,53,64,73,71,63,53,52,76,88,69.86,1,Average,Engineering,الهندسة المعمارية
93,85,57,79,94,83,98,57,84,65,56,84,51,65,64,81,78.81,2,Excellent,Data Analysis,علم البيانات
70,85,54,93,77,65,52,82,82,66,66,89,68,55,83,70,69.73,2,Average,Healthcare,الأحياء
98,72,99,73,78,94,89,57,87,60,50,66,85,70,66,71,73.85,1,Excellent,Robotics,هندسة الحاسب
57,41,66,53,92,83,92,75,69,80,50,94,76,88,87,71,71.02,1,Good,Law,إدارة الأعمال
89,98,77,58,78,90,72,70,54,53,64,97,65,90,61,80,76.69,3,Excellent,Healthcare,الصحة العامة
56,76,88,65,100,86,82,70,90,85,54,76,64,53,97,57,76.42,1,Average,Business,إدارة الأعمال
96,85,85,64,51,53,93,78,60,55,79,63,76,79,95,58,75.89,2,Good,Engineering,الهندسة الصناعية
77,90,64,94,74,54,56,90,67,83,87,62,79,65,70,60,71.89,2,Weak,Healthcare,الطب والجراحة
78,93,90,89,90,59,83,77,74,60,77,74,75,57,83,71,74.96,1,Average,Scientific Research,الكيمياء
87,55,86,55,78,100,90,51,58,63,64,76,79,86,84,73,74.04,2,Good,Architecture,هندسة الحاسب
58,100,79,85,85,71,86,80,76,50,76,68,51,83,69,64,77.02,1,Excellent,AI,طب الأسنان
92,64,93,90,60,82,85,52,52,70,64,89,75,74,68,53,77.12,1,Excellent,Data Analysis,الفيزياء
91,53,78,62,88,86,98,75,64,84,59,67,87,71,54,73,74.4,2,Average,Programming,الأمن السيبراني
81,94,87,95,84,56,70,59,70,58,66,69,86,82,57,61,69.49,3,Weak,Scientific Research,الصيدلة
99,79,77,81,83,92,90,88,52,51,77,72,50,50,66,82,78.08,1,Average,Data Analysis,علوم الحاسب
98,61,81,74,86,88,75,89,70,59,72,67,77,53,72,67,74.95,2,Weak,Scientific Research,الرياضيات
69,78,80,82,93,91,89,60,59,77,82,51,63,59,95,67,71.47,2,Average,Programming,نظم المعلومات الإدارية
91,64,93,67,63,88,76,74,66,51,82,75,82,90,83,58,74.75,3,Good,Engineering,الهندسة الكهربائية
99,54,89,58,82,70,86,79,57,81,71,78,56,67,95,53,72.54,3,Excellent,Accounting,المحاسبة
56,88,63,50,85,87,75,53,54,90,51,89,87,75,54,50,69.94,2,Average,Healthcare,الصحة العامة
98,82,87,76,63,78,95,57,57,72,85,57,75,70,56,79,78.2,1,Excellent,Business,الهندسة الكهربائية
95,66,84,50,98,85,87,83,71,66,57,50,58,73,60,51,69.9,2,Good,Islamic Studies,هندسة البرمجيات
